customer_name,zip_count,location_count,zip_codes
"Glass Concepts by Cline, Inc",3,3,"95020,95119,95037"
Dollar Tree,3,3,"95403,94014,95821"
Days Inn,3,3,"94947,95112,94066"
Edges Electrical Group,3,3,"94577,95159,93901"
Netronix Integration,3,3,"94544,95131,94553"
US Renal Care,3,3,"94710,95363,95361"
SGI-USA,3,3,"94609,94110,95834"
ISEC Inc.,3,3,"94566,94538,80111"
Walgreen’s ,3,3,"94704,94103,94127"
Union Bank,3,3,"94588,94103,95814"
Game Stop ,3,3,"94538,94928,94559"
Pankow,3,3,"94607,94704,94133"
Rossi Builders,3,3,"94103,94110,94401"
Barnes & Noble,3,3,"94403,95117,94063"
Sunrise Senior Living ,3,3,"94402,94306,94526"
Michael Kors,3,3,"94403,95035,94952"
Urban Properties,3,3,"94403,94103,94061"
Pacific Heights Realty Group,3,3,"94115,94131,94122"
The John Stewart Company- South Bay Region,3,3,"94040,95008,95066"
Landmark Theaters,3,3,"90069,94111,94301"
Stratford School,3,3,"95070,95119,94066"
"Equinix, Inc",3,3,"95054,94065,94404"
"Universal Security & Fire, Inc.",3,3,"95050,95110,89431"
PAMF,3,3,"95051,94301,94303"
"Advanced Medical Builders, Inc.",3,3,"95125,95678,92806"
TNDC,3,3,"94102,94109,94103"
University Of The Pacific,3,3,"94103,94115,95817"
Sutter Medical Foundation,3,3,"94115,95403,95661"
Jones Lang LaSalle,3,3,"94080,94065,11802"
BCCI Construction,3,3,"94111,94107,94041"
Wells Fargo,3,3,"94107,94105,94123"
Sancho’s Taqueria,3,3,"94062,94306,94301"
San Joaquin Regional Transit District (RTD),3,3,"95201,95202,95205"
Mercado Loco,3,3,"95827,95691,95661"
Chomp,3,3,"93940,93923,93907"
Goodwill Donation Express,3,3,"95821,95608,95682"
YOLO COUNTY LIBRARY,3,3,"95691,95627,95616"
M&M Heating & Air Conditioning,3,3,"95203,95206,95207"
Mid-Pen Housing Headquarters,3,3,"95062,94404,95128"
UCSF Mission Bay Campus Facilities,2,16,"94158,94143"
County of Mendocino ,2,16,"95482,95490"
Sutter North Medical Group,2,12,"95993,95991"
Depot Park,2,11,"95828,95825"
Sutter Pacific Medical Foundation - Marin County,2,10,"94945,94904"
UCSF Mission Bay,2,10,"94158,94133"
Kaiser Medical Center - San Rafael,2,9,"94903,94901"
UC Berkeley,2,9,"94720,94704"
UC Office of the President,2,8,"94612,94607"
Kaiser Permanente - Walnut Creek,2,8,"94596,94598"
Woodland Memorial Hospital,2,7,"95776,95695"
Salinas Valley Memorial Hospital,2,7,"93901,93940"
Lucile Salter Packard Children’s Hospital at Stanford,2,7,"94304,94062"
Sacramento City College,2,7,"95822,95827"
Broadcom,2,7,"95131,95134"
Carol Dineen Realty Inc,2,7,"94141,94107"
Fremont Rideout Health Group Hospital,2,7,"95901,95991"
St Joseph Medical Center - Dignity Health,2,6,"95204,95219"
Santa Rosa Memorial Hospital - Providence,2,6,"95405,95401"
Stanford Children's Health - Lucile Packard Children’s Hospital,2,6,"94025,94087"
Washington Hospital,2,6,"94538,94539"
DGS (Ca Department Of General Services),2,6,"95814,95605"
UC Davis Student Housing,2,6,"95817,95616"
Silicon Valley Surgery Center ,2,5,"95008,95032"
Mosser Company,2,5,"94103,94110"
Medtronic,2,5,"95403,95492"
Stanford Health Care Tri-Valley ,2,5,"94588,94550"
"Roku, Inc",2,5,"95110,95112"
Codding Enterprises,2,5,"95406,94928"
County of Yuba,2,5,"95901,95961"
St Joseph - Providence,2,4,"94954,95405"
Pell Development,2,4,"94903,94103"
MPSC (Monterey Peninsula Surgery Center),2,4,"93901,93940"
United Markets,2,4,"94960,94901"
Marin Community Clinic ,2,4,"94945,94901"
Livermore Airport - City of Livermore,2,4,"94551,94550"
City Of Berkeley,2,4,"94710,94702"
City of Antioch - Parks & Recreation,2,4,"94509,94531"
Capurro Properties LLC,2,4,"94133,94109"
Cornerstone Properties,2,4,"95403,94954"
Dept of Veterans Affairs,2,4,"95814,94599"
Sonoma Developmental Center,2,4,"95431,94244"
Separovich Domich Real Estate ,2,4,"95826,95816"
Saint Mary’s Regional Medical Center,2,4,"89503,89511"
"Jazo Group, LLC",2,3,"94104,94903"
California State University East Bay,2,3,"94542,94521"
WOODLANDS MARKET,2,3,"94920,94904"
Dameron Hospital,2,3,"95203,95207"
McMillan Security Systems,2,3,"94110,94124"
"Benson Industries,  a MiTek Company",2,3,"94111,97209"
Institute on Aging San Francisco ,2,3,"94129,94118"
Peninsula Family Service ,2,3,"94401,94014"
"Triamid Construction of Central California, Inc. ",2,3,"95742,95827"
SBAY Construction Inc,2,3,"95128,95129"
Natural Grocery Company,2,3,"94530,94706"
Branded Group,2,3,"92805,92868"
Sutter PAMF (Palo Alto Medical Foundation),2,3,"94301,94039"
Mission Glass Company,2,3,"94005,94612"
Marin Specialty Surgery Center,2,3,"94903,94904"
Kaiser Permanente - Antioch,2,3,"94531,94509"
Los Medanos College,2,3,"94565,94513"
Fairmont Hospital,2,3,"94578,94560"
Certified Kitchens,2,3,"94596,94704"
City of Modesto,2,3,"95353,95351"
O’Briens Market,2,3,"95350,95356"
Canine Companions,2,3,"95407,95402"
San Mateo County - DPW,2,3,"94063,94402"
Marin Community Clinic A/P,2,3,"94949,94901"
Marin Airporter,2,3,"94901,94949"
"Applied Materials, Inc - Arques Campus",2,3,"94086,94085"
TMG Partners,2,3,"94612,94104"
"D & C Glass and Aluminum, Inc.",2,3,"94577,94588"
Port of Oakland,2,3,"94621,94607"
2Y Construction Company,2,3,"94546,94608"
DoorTech,2,3,"91750,91767"
John Stewart Company ,2,3,"94111,94109"
City of Napa,2,3,"94558,94559"
Sacramento Suburban Water District,2,3,"95652,95821"
Premier Glass & Aluminum,2,3,"95376,95206"
"Applied Materials, Inc - Bowers Campus",2,3,"95054,95051"
Accuray,2,3,"94089,94043"
Stanford Federal Credit Union,2,3,"94305,94303"
"Marina Plaza, LLC",2,3,"95129,94022"
UCSF Campus Housing,2,3,"94107,94122"
WINTHROP MANAGMENT,2,3,"94104,94105"
Kaiser Permanente (Cap Projects) ,2,3,"94118,95688"
"Simons & Woodard, Inc",2,3,"95401,95407"
"Ramco Enterprises, Inc",2,3,"95691,95605"
Total Team Construction,2,3,"95798,95691"
ValleyCare Medical Center,2,3,"94550,94588"
Cardenas Markets ,2,2,"93905,95112"
Stanford Health Care,2,2,"94588,94305"
"Lyngso Garden Materials, Inc",2,2,"94063,94070"
California Teacher Association ,2,2,"94520,95814"
Pacific Medical Building Real Estate Services,2,2,"94546,94109"
Rudolph & Sletten,2,2,"94025,95661"
SoMa Hotel,2,2,"94103,94158"
Ethan Conrad Construction,2,2,"95610,95834"
SBI Irrigation and Lighting ,2,2,"75070,95439"
1260 Jazo Group,2,2,"94904,94101"
Park View Terrace ,2,2,"94610,94402"
Napa Valley College,2,2,"94558,94574"
Hampton Inn & Suites ,2,2,"93933,95131"
Wild Roots Market,2,2,"95006,95018"
Amazon,2,2,"94111,94080"
Organic Greens Salad and More ,2,2,"94705,94707"
Mi Rancho Market,2,2,"95670,95127"
"RT Western, Inc",2,2,"94124,94536"
Chevron Gas Station,2,2,"94109,95988"
Marina Food,2,2,"95014,94403"
"Weller Construction & Design, Inc.",2,2,"95326,95310"
